date,software,version,usage_minutes
2024-11-30,node,16.9.3,188
2024-07-17,redis,6.0.2,67
2024-12-27,docker,20.5.1,434
2024-10-16,java,11.8.2,348
2024-12-15,docker,20.2.7,306
2024-11-03,mongodb,4.4.4,146
2024-12-23,mongodb,4.4.6,341
2024-07-28,python,3.2.3,392
2024-09-20,elasticsearch,7.2.3,425
2025-02-19,mysql,8.9.1,196
2025-02-06,docker,20.4.9,290
2025-02-15,mongodb,4.0.2,380
2025-02-24,redis,6.4.0,330
2024-09-18,elasticsearch,7.3.7,75
2024-12-24,mysql,8.8.2,59
2024-06-20,docker,20.6.2,330
2024-12-01,nginx,1.8.1,246
2025-04-30,python,3.8.1,180
2025-05-14,mongodb,4.8.6,323
2025-05-25,elasticsearch,7.7.9,141
2025-04-01,mysql,8.8.8,449
2025-05-09,mysql,8.8.9,341
2024-10-26,nginx,1.1.6,166
2025-01-05,nginx,1.9.1,433
2025-03-19,docker,20.0.8,435
2025-05-17,mysql,8.6.4,335
2025-01-02,mysql,8.0.6,437
2024-07-27,elasticsearch,7.8.7,148
2024-08-18,nginx,1.8.8,439
2024-11-16,mysql,8.1.2,299
2025-01-24,java,11.5.5,160
2024-07-11,python,3.8.9,86
2025-01-01,java,11.4.4,296
2025-05-18,java,11.0.4,128
2025-02-20,docker,20.6.7,25
2024-08-01,node,16.5.1,3
2024-11-26,python,3.5.5,74
2025-05-08,node,16.5.7,20
2025-01-23,mongodb,4.3.2,181
2024-07-12,node,16.3.2,212
2025-03-05,node,16.0.1,331
2025-03-27,java,11.1.4,419
2024-07-29,redis,6.2.8,284
2025-05-26,elasticsearch,7.8.1,284
2024-08-29,elasticsearch,7.5.9,106
2025-02-02,nginx,1.0.3,208
2024-12-01,node,16.5.6,171
2024-11-22,postgres,13.1.7,210
2025-05-14,python,3.4.4,409
2024-07-07,docker,20.3.9,61
2024-10-25,python,3.0.0,470
2024-12-17,postgres,13.1.1,176
2025-05-02,mysql,8.9.3,443
2025-04-04,docker,20.8.3,214
2025-03-29,mysql,8.3.0,17
2024-07-02,redis,6.1.6,170
2025-01-04,python,3.0.4,160
2025-05-01,python,3.3.9,359
2025-05-19,nginx,1.7.5,23
2024-12-14,mysql,8.4.5,80
2024-09-12,postgres,13.5.8,329
2024-09-20,postgres,13.1.4,219
2024-12-26,java,11.1.5,295
2024-06-06,redis,6.5.9,344
2025-05-19,node,16.8.3,64
2024-11-01,python,3.6.2,405
2024-07-04,mysql,8.3.0,268
2025-02-17,nginx,1.4.3,260
2025-05-07,mongodb,4.6.3,221
2024-09-22,nginx,1.8.3,441
2025-01-28,mongodb,4.3.5,124
2024-07-13,docker,20.8.9,218
2025-05-25,python,3.7.3,291
2024-07-12,postgres,13.0.5,181
2024-08-15,mysql,8.7.1,261
2024-07-28,nginx,1.2.2,71
2025-04-21,mysql,8.9.5,263
2025-05-22,mysql,8.2.3,306
2024-11-10,mysql,8.1.5,3
2024-06-25,java,11.9.3,465
2025-02-17,node,16.2.3,296
2025-02-27,nginx,1.8.2,67
2024-08-20,node,16.6.1,372
2025-02-14,docker,20.2.0,165
2024-06-17,mysql,8.9.1,83
2024-08-26,nginx,1.5.8,110
2024-11-08,mysql,8.7.4,154
2025-02-02,redis,6.0.0,37
2024-08-30,elasticsearch,7.8.4,321
2025-04-29,redis,6.0.8,198
2025-03-25,java,11.5.2,413
2024-11-22,mongodb,4.5.2,112
2024-07-17,node,16.3.5,347
2024-08-25,postgres,13.7.3,156
2025-04-06,nginx,1.3.9,298
2025-02-02,mysql,8.5.0,184
2024-07-31,node,16.8.8,264
2025-04-03,java,11.2.3,353
2024-10-11,node,16.6.2,36
2025-04-25,mongodb,4.1.3,33
2025-04-14,nginx,1.0.3,194
2024-07-08,node,16.2.5,477
2025-03-27,docker,20.5.4,344
2024-11-09,python,3.5.6,359
2024-10-16,mysql,8.9.4,245
2024-09-04,nginx,1.3.2,230
2024-06-02,mysql,8.1.9,380
2024-12-09,redis,6.7.2,458
2025-02-09,postgres,13.9.7,450
2025-05-22,docker,20.6.4,234
2024-11-15,redis,6.2.6,419
2025-05-28,elasticsearch,7.7.9,128
2024-10-13,mysql,8.3.9,26
2024-09-12,postgres,13.2.7,31
2025-05-23,mongodb,4.6.7,99
2025-05-25,docker,20.1.1,247
2024-09-09,docker,20.0.0,434
2024-07-08,postgres,13.0.5,340
2025-05-09,nginx,1.6.3,94
2025-04-22,mysql,8.5.4,376
2025-01-13,elasticsearch,7.5.0,460
2024-12-13,python,3.8.6,74
2024-12-22,mysql,8.2.4,479
2025-05-23,java,11.8.2,57
2025-05-16,mysql,8.7.3,326
2024-12-13,nginx,1.1.2,161
2024-07-26,elasticsearch,7.2.5,433
2025-03-25,postgres,13.8.2,42
2024-11-13,java,11.4.0,189
2024-06-21,java,11.2.5,295
2024-09-29,postgres,13.2.8,209
2024-07-01,elasticsearch,7.7.1,445
2025-05-19,nginx,1.0.5,201
2025-01-16,mysql,8.6.2,175
2024-09-10,elasticsearch,7.2.7,273
2024-08-13,java,11.0.7,249
2024-06-05,python,3.5.6,41
2025-04-13,redis,6.0.5,286
2024-10-02,java,11.0.1,382
2025-03-29,elasticsearch,7.3.9,154
2024-08-01,mongodb,4.3.5,283
2025-02-26,postgres,13.4.8,475
2024-12-04,elasticsearch,7.4.0,66
2025-03-27,python,3.1.2,94
2025-02-03,redis,6.4.2,317
2025-05-21,docker,20.4.2,432
2024-11-09,mysql,8.3.2,334
2025-01-22,postgres,13.3.2,164
2025-04-05,python,3.5.2,376
2024-05-30,postgres,13.5.4,459
2024-11-12,docker,20.9.8,319
2024-10-14,python,3.9.8,59
2024-06-03,redis,6.1.9,130
2024-06-05,docker,20.3.9,104
2024-09-18,python,3.8.8,381
2024-12-26,mysql,8.2.0,74
2024-09-13,postgres,13.1.0,381
2024-07-20,elasticsearch,7.9.1,454
2024-12-14,mysql,8.0.6,228
2025-03-15,python,3.6.2,272
2025-02-24,python,3.9.8,366
2024-10-09,mongodb,4.1.2,136
2025-05-23,redis,6.6.6,360
2025-01-24,mongodb,4.2.4,434
2024-10-04,postgres,13.5.1,153
2025-02-09,nginx,1.5.4,390
2025-03-10,python,3.3.1,214
2025-02-08,node,16.7.7,129
2024-10-31,elasticsearch,7.3.3,12
2024-09-24,elasticsearch,7.8.1,369
2024-06-12,python,3.8.7,474
2025-02-12,elasticsearch,7.1.7,170
2025-04-02,nginx,1.3.1,231
2024-12-14,python,3.9.2,428
2024-11-13,mysql,8.0.4,347
2024-06-15,node,16.2.2,125
2024-12-07,java,11.3.9,344
2025-02-08,python,3.6.7,245
2024-09-09,node,16.6.6,88
2024-09-21,mysql,8.9.6,301
2024-11-05,mongodb,4.1.5,62
2024-06-03,redis,6.6.3,318
2024-10-12,redis,6.3.2,360
2025-02-11,postgres,13.9.1,459
2025-05-12,postgres,13.4.0,296
2024-07-05,java,11.9.2,216
2025-05-20,postgres,13.4.1,308
2025-04-06,redis,6.3.7,414
2024-07-02,node,16.3.9,177
2024-11-03,java,11.0.4,95
2025-04-25,elasticsearch,7.7.6,192
2024-10-14,redis,6.2.1,30
2025-02-24,mongodb,4.6.2,42
2024-07-18,mysql,8.2.7,198
2024-12-31,mongodb,4.2.7,180
2025-01-30,redis,6.9.7,304
2025-02-14,postgres,13.1.7,387
2025-01-08,docker,20.1.4,323
2024-06-11,redis,6.0.5,232
2025-03-18,redis,6.7.0,41
2024-11-17,mysql,8.0.6,280
2025-04-12,mongodb,4.6.1,383
2025-03-03,docker,20.4.0,162
2025-01-22,postgres,13.3.9,227
2024-07-13,java,11.1.1,129
2025-02-25,java,11.9.5,22
2025-04-09,mongodb,4.4.2,31
2024-12-17,mysql,8.0.2,45
2025-02-22,docker,20.3.2,100
2024-05-31,redis,6.5.1,432
2025-02-24,redis,6.2.3,255
2025-02-02,mongodb,4.5.9,351
2024-07-11,java,11.3.0,30
2025-03-08,python,3.1.7,195
2024-10-15,node,16.7.4,162
2025-03-15,nginx,1.4.0,73
2024-12-01,elasticsearch,7.1.3,338
2024-11-15,nginx,1.5.6,145
2025-03-08,nginx,1.9.7,45
2025-03-09,elasticsearch,7.8.5,250
2024-07-21,mongodb,4.3.6,391
2024-08-19,mongodb,4.9.6,125
2025-01-15,nginx,1.1.1,182
2024-07-30,python,3.1.9,259
2024-08-10,python,3.7.0,374
2024-12-09,python,3.5.0,1
2025-01-16,elasticsearch,7.3.3,390
2024-11-28,node,16.2.0,44
2024-07-10,mongodb,4.5.9,155
2025-01-22,elasticsearch,7.9.8,293
2025-02-04,docker,20.0.1,155
2025-05-14,mongodb,4.2.0,284
2024-06-22,docker,20.9.4,472
2025-02-05,docker,20.1.2,54
2024-08-14,docker,20.8.1,151
2024-12-05,node,16.4.0,51
2025-01-31,elasticsearch,7.3.4,253
2025-05-04,java,11.3.9,82
2025-04-12,elasticsearch,7.9.6,468
2024-08-05,postgres,13.0.2,186
2024-07-30,mongodb,4.7.3,263
2024-12-04,mysql,8.3.3,369
2024-11-24,elasticsearch,7.5.6,155
2025-02-13,java,11.7.2,336
2025-03-31,mysql,8.4.6,55
2025-01-06,nginx,1.8.5,97
2024-07-08,redis,6.3.0,179
2024-09-09,python,3.8.2,253
2024-09-18,mysql,8.1.5,406
2024-08-27,python,3.0.5,407
2024-06-15,docker,20.9.7,408
